上海必胜客有限公司曹安路二店,121.33806,31.245433,上海市, 上海市, 嘉定区
莘凌路天天鲜菜店（专卖加盟）,108.848458,34.534889,陕西省, 咸阳市, 泾阳县
上海甘泉集贸市场经营管理有限公司,121.435131,31.268487,上海市, 上海市, 普陀区
春雷路菜场南门,121.440492,31.418318,上海市, 上海市, 宝山区
周月梅14(亿家美）,108.376382,34.152743,陕西省, 西安市, 周至县
上海欧博食品有限公司,121.479917,31.244369,上海市, 上海市, 黄浦区
上海展鹏食品有限公司,121.386922,31.432493,上海市, 上海市, 宝山区
杨桃路加盟超市（专卖加盟）,106.654028,30.490221,四川省, 广安市, 广安区
塞拉尼斯(索迪斯),118.00568,36.753373,山东省, 淄博市, 淄川区
南昌148(农工商),115.893527,28.689578,江西省, 南昌市, 东湖区
世纪联华顾村店,121.417475,31.359943,上海市, 上海市, 宝山区
石龙金,112.894691,33.892094,河南省, 平顶山市, 石龙区
蒙自路--王,121.483455,31.213861,上海市, 上海市, 黄浦区
杨浦黄兴(大润发),121.527741,31.29409,上海市, 上海市, 杨浦区
上海苏沪粮油批发部,121.434264,31.25516,上海市, 上海市, 普陀区
吉买盛浦东迎春路食堂,121.486229,31.272664,上海市, 上海市, 虹口区
大厂回族自治县万福肉类有限公司,116.951282,39.865405,河北省, 廊坊市, 大厂回族自治县
品尊国际(易初莲花),119.374294,32.393861,江苏省, 扬州市, 邗江区
上海睿畅贸易有限公司奉贤分公司,121.570192,30.927153,上海市, 上海市, 奉贤区
上海美天副食品市场经营管理有限公司平塘分公司,121.371541,31.22552,上海市, 上海市, 长宁区
福建容和盛食品集团有限公司（BRAVO),119.331486,26.049226,福建省, 福州市, 仓山区
上海艾尼维农产品专业合作社,121.487899,31.249162,上海市, 上海市, 闸北区
上海众敏供,121.487899,31.249162,上海市, 上海市, 闸北区
上海东山食品有限公司,121.700302,31.005451,上海市, 上海市, 浦东新区
09.沃尔玛万达店,116.724333,23.367868,广东省, 汕头市, 龙湖区
期货交易所-锦江国际,121.542534,31.231314,上海市, 上海市, 浦东新区
