source,target
上海江杨农产品市场经营管理有限公司,上海新欧尚超市有限公司蒙山北路店,1.0
上海苏食肉品销售有限公司,0956陇南市场3栋13号（闵行区）,4.0
嘉吉动物蛋白（安徽）有限公司,上海荷美尔食品有限公司,4.0
上海山华果品市场,上海申泉农贸市场经营管理有限公司,44.0
嘉善子陵滩酒业有限公司,上海乓乓响农副产品配送有限公司,1.0
上海冉顺工贸有限公司,上海客祥超市有限公司,2.0
上海惠黎食品有限公司,上海七宝商城综合市场经营管理有限公司,27.0
上海万有全豆制品有限公司奉贤分公司,上海新阳普超市有限公司华联国年超市,30.0
菏泽盛佳烽食品有限公司,上海苏食肉品销售有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司永业餐厅,9.0
上海慎昌贸易有限公司,上海新欧尚超市有限公司嘉定店,11.0
上海瑞凯伊德食品有限公司,西安高铁（卡仕玛）,2.0
上海意华食品有限公司,家乐福昆明世纪城店,1.0
上海艺杏食品有限公司,娄门市场(林传国)[直营],22.0
上海斗品膳食品有限公司,重庆斗渝餐饮管理有限公司沙坪坝店,10.0
上海协园实业有限公司,上海三阳南货店食品厂,2.0
艾狄士食品（上海）有限公司,重庆贝克街餐饮管理有限公司）,1.0
上海华晨食品有限公司,上海振华股份有限公司,1.0
食全食美（上海）农业科技股份有限公司,上海华润万家超市有限公司悦达店,15.0
上海清美绿色食品有限公司,泗泾联合壹佰（超市加盟）,8.0
上海力德尔食品有限公司,南山81号,61.0
上海汉康豆类食品有限公司,易初莲花吴中店,1.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司机场镇店,10.0
欧本咖啡（北京）有限公司,上海龙辉餐饮管理有限公司南京西路店,4.0
艾狄士食品（上海）有限公司,丽江悦榕庄,1.0
上海双汇大昌有限公司上海分公司,永嘉县梅花贸易有限公司,1.0
上海银苑酒店有限公司,红东副食品经营部,7006.0
上海怀乾贸易有限公司,上海龙辉餐饮管理有限公司南京西路店,9.0
天津顶连食品有限公司,上海顶发食品有限公司,6.0
艾狄士食品（上海）有限公司,武汉香格里拉大饭店,1.0
安吉祖名豆制食品有限公司,岳阳卜蜂莲花,180.0
上海汉康豆类食品有限公司,31.锦华,29.0
上海信韩食品有限公司,上海市长宁区凡雅小吃店,466.0
上海双汇大昌有限公司上海分公司,江阴市江南市场先进副食品批发部,4.0
上海原野蔬菜食品有限公司,上海宴芸农贸市场经营管理有限公司,18.0
上海艺杏食品有限公司,金丝河市场4号(陈敬武),1.0
金虹翔食品,上海浦众农贸市场经营管理有限公司,1.0
上海益海商贸有限公司,上海嘉里食品工业有限公司,4.0
上海汉康豆类有限公司,上海绿叶农副产品市场经营管理有限公司盘古路市场分公司,109.0
中粮肉食（北京）有限公司,上海荷美尔食品有限公司,3.0
上海清美绿色食品有限公司,新临汾店经销(共康小区),8.0
上海东区老大房食品有限公司,联华羽山,8.0
苏州恒发经营部,上海浦众农贸市场经营管理有限公司,1.0
上海市徐汇区欣建副食品经营部,上海龙辉餐饮管理有限公司淀山湖大道店,104.0
上海悦采芳实业有限公司,昆山曼华商行,3.0
上海葵恩果品有限公司,上海家得利超市有限公司栖山店,3.0
益海嘉里食品营销有限公司,特易购商业（上海）有限公司上南路分公司,4.0
上海东辉食品有限公司-美赞臣,上海嘉定乐购生活购物有限公司,19.0
上海唐人神肉制品有限公司,杭州德昌食品原料有限公司,2.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司松江万达餐厅,3.0
益海嘉里食品营销有限公司,上海必胜客有限公司梅陇餐厅,3.0
上海威镇鸣实业有限公司,上海欧尚超市有限公司,1.0
上海市闸北区熠峰食品经营部,上海龙辉餐饮管理有限公司东郊百联店,4.0
正大食品企业（上海）有限公司,上海顶发食品有限公司,14.0
上海汉康豆类食品有限公司,上海真如寺,3.0
安吉祖名豆制品食品有限公司,上海速堡餐饮有限公司,20.0
上海龙上农副产品批发市场经营管理有限公司,阿宝家,8.0
上海阳洋豆业食品有限公司,三泉路加油站-清美,25.0
小罗,上海旋香鼎餐饮有限公司,1.0
上海青冬禽蛋专业合作社,上海顺昕餐饮管理有限公司,8.0
上海燕东食品销售有限公司,上海宝隆宾馆有限公司,285.0
领先食品（上海）发展有限公司,味之鲜-宁波开明,4.0
上海万有全豆制品有限公司奉贤分公司,上海新世界粮油公司,29.0
安徽巴莉甜甜食品有限公司,上海顶发食品有限公司,44.0
上海煜茗食品配送有限公司,上海山林食品有限公司,26.0
上海冯达豆类食品有限公司,上海南石农副产品市场经营管理有限公司,29.0
上海力德尔食品有限公司,B2-1504a江苏路第五小学华阳校区3205a②学生,2.0
桐乡市同成菜业有限公司,上海乓乓响农副产品配送有限公司,1.0
上海铜川路水产市场,上海合阳综合市场经营管理部,125.0
上海艺杏食品有限公司,佳美超市(名人苑),26.0
艾狄士食品（上海）有限公司,Bigbamboo 大河,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司万达餐厅,9.0
上海万有全豆制品有限公司奉贤分公司,上海仪电显示材料有限公司（索迪斯）,13.0
上海冯达豆类食品有限公司,华联超市（曹建路）,10.0
上海冯达豆类食品有限公司,八号桥163#,22.0
太仓市绿霖果蔬专业合作社,上海欧尚超市有限公司,6.0
艾狄士食品（上海）有限公司,上海恒乐餐饮有限公司猫头鹰浦东,8.0
上海意华食品有限公司,家乐福石家庄涿州范阳店,1.0
北海市香港路工业园区经九路中段,上海怀乾贸易有限公司,1.0
北京多果国际商贸有限公司,上海龙辉餐饮管理有限公司百联又一城店,14.0
华润五丰米业(中国)有限公司,上海欧尚超市有限公司,21.0
天津毕升资源发展有限公司,上海行怡食品贸易有限公司,90.0
上海双汇大昌有限公司上海分公司,宿州市神旺食品有限公司,10.0
上海清美绿色食品有限公司,上南店（良友平价超市）,18.0
明康汇生态农业集团有限公司,海亮明康汇物流有限公司,9.0
上海聚誉（张彬）食品销售有限公司 ZhangBin(Farmer Market-Fruit),上海宝隆宾馆有限公司,104.0
上海清美绿色食品有限公司,枫林菜市场,6.0
上海广禧贸易有限公司,上海梅龙镇伊势丹百货有限公司,3.0
上海力德尔食品有限公司,B2-1213a徐家汇商城集团股份有限公司 $5601a②,7.0
上海欣玉食品有限公司,上海盛桥农贸市场经营管理有限公司,40.0
上海清美绿色食品有限公司,张玉学加盟（预付）,4.0
上海艺杏食品有限公司,东安市场20号(王道友)（加盟）,13.0
山东鲁花集团有限公司,上海行广贸易有限公司,11.0
福建塞翁福食品股份有限公司,上海乓乓响农副产品配送有限公司,1.0
上海双汇大昌有限公司上海分公司,义乌市双竹食品商行,32.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司高青餐厅,1.0
上海苏食肉品销售有限公司,0198临沂联华专卖,4.0
上海彬龙农副食品有限公司,上海龙辉餐饮管理有限公司南京西路店,4.0
安吉祖名豆制食品有限公司,三林沃尔玛,180.0
一诚食品经营部,上海市普陀区辉仁华饭店,38.0
金华市开发区金谷粮油有限公司,沃尔玛华东百货有限公司上海五角场分店,1.0
上海阳洋豆业食品有限公司,上海兆基农贸市场经营管理有限公司,25.0
上海嘉里食品工业有限公司,上海清美绿色食品有限公司,1.0
上海旭洋绿色食品有限公司,世纪联华鲁班专卖,29.0
上海汉康豆类食品有限公司,联华南亭,27.0
上海上实现代农业开发有限公司,上海东滩物业有限公司,1.0
益海嘉里食品营销有限公司,联华人民店,2.0
上海双汇大昌有限公司上海分公司,乐清市浩博食品有限公司,8.0
上海新景西餐食品有限公司,杭州国大雷迪森酒店,7.0
上海海亮有机食品供应链有限公司,海亮明康汇物流有限公司,9.0
上海旭洋绿色食品有限公司,麦德龙超市  虹口,13.0
上海越哲食品有限公司,吉林长春-李丹红,7.0
上海云身果业有限公司,上海尔牟实业有限公司,50.0
上海市闵行区七宝镇维江肉庄,上海惠雅餐饮管理有限公司第一分公司,34.0
上海旭洋绿色食品有限公司,华润无锡恒隆店,7.0
上海清美绿色食品有限公司,联华加盟铁峰店（预付）,3.0
安吉祖名豆制食品有限公司,三林大润发,180.0
上海艺杏食品有限公司,欧尚(黄河店)--112,8.0
浙江金华双汇食品有限公司（3),上海浦众农贸市场经营管理有限公司,10.0
辽宁仁泰集团,上海泉发食品有限公司,13.0
益海嘉里食品营销有限公司,上海必胜客有限公司柳州路店,5.0
上海新景西餐食品有限公司,浙江东方豪生大酒店,10.0
上海清美绿色食品有限公司,龙茗路天地果蔬（加盟）,3.0
上海津香食品有限公司,福州市德旭贸易有限公司,2.0
信发水果,上海广元农副产品市场经营管理有限公司,58.0
上海西郊国际农产品交易有限公司,上海波涛果蔬有限公司,5.0
上海少野商贸有限公司,上海秋冬食品有限公司,236.0
上海双汇大昌有限公司上海分公司,宿州怡连深度供应链管理有限公司,10.0
上海艺杏食品有限公司,振华重工长兴基地（综合楼）（H ）,22.0
上海清美绿色食品有限公司,乐购大卖场(锦绣店),8.0
上海清美绿色食品有限公司,雏鹰农牧国顺东路店 王敬福,2.0
上海市普陀区招福水产行,上海普陀饮食有限责任公司宜川饭店,15.0
安徽省和县济洪蔬菜种植有限公司,上海泥城大润发商贸有限公司,20.0
纽迪希亚生命早期营养品管理（上海）有限公司,上海优壹电子商务有限公司,15.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司西藏中路餐厅,8.0
中粮食品营销有限公司上海分公司,上海英祥食品有限公司分公司,1.0
上海清美绿色食品有限公司,崇明绿海店(华联供销),3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司罗山餐厅,11.0
艾狄士食品（上海）有限公司,芭芭露莎餐饮（上海）有限公司,9.0
上海良友海狮油脂实业有限公司,上海家得利超市有限公司花木店,30.0
上海力德尔食品有限公司,桃浦2号,115.0
上海谷成食品有限公司,艾狄士食品（上海）有限公司,1.0
上海艺杏食品有限公司,闵行公安局-梅陇食堂-学校餐饮,7.0
上海骏果实业有限公司,上海新欧尚超市有限公司人民店,2.0
上海力德尔食品有限公司,菊园幼儿园-学生,4.0
上海行怡食品贸易有限公司,上海同顺食品科技发展股份有限公司,54.0
