source,target
上海阳洋豆业食品有限公司,高庙55号,29.0
上海清美绿色食品有限公司,万安61(农工商),31.0
上海品高食品有限公司,上海萨莉亚餐饮有限公司大渡河路店,6.0
上海花冠营养乳品有限公司,大连开发区金玛商城婴达喜母婴用品店,6.0
上海花冠营养乳品有限公司,淮南市阿莲孕婴,5.0
上海六和勤强食品有限公司,上海虹腾农副产品市场经营管理有限公司,3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司金科餐厅,9.0
上海清美绿色食品有限公司,浦东三林镇姐妹百货店,33.0
上海汉康豆类食品有限公司,31.曙光东院,24.0
上海艺杏食品有限公司,东华大学后勤餐饮(广八1)(Q1H )-M,28.0
益海嘉里食品营销有限公司,上海联家超市有限公司莘庄店,9.0
上海艺杏食品有限公司,上海双峰农贸市场经营管理有限公司,30.0
上海金优远洋渔业有限公司,上海日生食品物流有限公司,1.0
佳农食品有限公司,锦江麦德龙现购自运有限公司浦东商场,28.0
上海阳洋豆业食品有限公司,通河市场,30.0
上海市闵行区新哥肉制品经营部,上海龙辉餐饮管理有限公司真北路店,83.0
上海阳洋豆业食品有限公司,城达市场（新康园专卖店）,29.0
上海龙上农副产品批发市场经营管理有限公司,开心厨娘,14.0
上海清美绿色食品有限公司,广灵18(伍缘折扣超市),31.0
上海清美绿色食品有限公司,元华武定店加盟,31.0
宿州福润肉类食品有限公司,上海浦众农贸市场经营管理有限公司,12.0
长丰食品,上海浦众农贸市场经营管理有限公司,7.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司金桥餐厅,4.0
威定海鲜贸易(上海)有限公司,水舍酒店（上海）有限公司,6.0
上海清美绿色食品有限公司,梅高152(伍缘折扣超市),28.0
上海江杨农产品物流有限公司,广东保辉建筑工程有限公司,2.0
上海旭洋绿色食品有限公司,利海超商业有限公司,4.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司名都餐厅,28.0
上海宸心贸易有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,36.0
上海荣孙肉制品经营部,上海龙辉餐饮管理有限公司月星广场店,82.0
上海清美绿色食品有限公司,金桥386(农工商),32.0
上海春鸣蔬菜专业合作社,上海联家超市有限公司莘庄店,271.0
上海兆领糖业商贸有限公司,上海农泰食品有限公司,1.0
上海唐人神肉制品有限公司,合肥华隆食品餐料有限责任公司,3.0
上海力德尔食品有限公司,宁波路,90.0
上海江杨农产品物流有限公司,张先生,2.0
上海圣华副食品有限公司,锦江麦德龙现购自运有限公司金山商场,25.0
上海力德尔食品有限公司,绿园市场,21.0
上海清美绿色食品有限公司,联华百秀路（加盟超市）,81.0
上海清美绿色食品有限公司,崇明合作(华联供销),9.0
上海汉康豆类食品有限公司,华东理工大学留学生,24.0
上海越哲食品有限公司,南昌荣康贸易有限公司,10.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司陆翔路店,2.0
上海冯达豆类食品有限公司,零售,45.0
上海阳洋豆业食品有限公司,万德菜市场,30.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司丰庄餐厅,24.0
上海阳洋豆业食品有限公司,合阳菜场,30.0
清美绿色食品有限公司,上海红林农副产品市场经营管理有限公司,13.0
上海紫燕食品有限公司,上海市嘉定区嘉定镇街道李伟熟食店,8.0
上海意华食品有限公司,华润万家上海遵义路OLE店,2.0
上海亿欣食品销售有限公司,上海绿叶农副产品市场经营管理有限公司团结路分公司,37.0
上海汉康豆类食品有限公司,05.联华快捷桂巷店,13.0
上海力德尔食品有限公司,共富查,65.0
ZPV0-益海嘉里食品营销有限公司,上海联家超市有限公司青浦公园店,21.0
上海火焱副食品经营部,上海九龙宾馆有限公司,29.0
上海世达食品有限公司,上海诚味食品有限公司,1.0
海安石房肉皮厂,上海七宝商城综合市场经营管理有限公司,1.0
上海市宝山区二苗水果店,上海宁江大酒店有限公司,25.0
上海大昌行食品工业有限公司,联华 周家桥,2.0
上海斗品膳食品有限公司,湖州市吴兴银东斗牛士牛排餐厅,9.0
上海彬龙农副产品有限公司,上海龙辉餐饮管理有限公司东郊百联店,12.0
上海汉康豆类食品有限公司,上海宝山罗店大润发商贸有限公司,1.0
上海清美绿色食品有限公司,宁夏店（乐购）,31.0
上海清美绿色食品有限公司,上海翼通菜市场经营管理有限公司,1390.0
上海东辉食品有限公司-美赞臣,上海宝山乐购生活购物有限公司,8.0
上海阳洋豆业食品有限公司,武进路445号--于,30.0
上海依涛食品有限公司,上海龙辉餐饮管理有限公司周浦万达店,19.0
上海长生食品有限公司,大润发涟水店,2.0
上海椰椰食品有限公司,娄底市松兴食品贸易有限公司（陈香平）,5.0
漳州市同发食品工业有限公司,上海萨莉亚餐饮有限公司大渡河路店,3.0
上海冯达豆类食品有限公司,蓝天新村,17.0
上海市闵行区万兴制面店,上海闵行七宝宝丰饭店,24.0
