source,target
上海东区老大房食品有限公司,联华浦电,4.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司中兴路餐厅,5.0
上海西郊国际农产品交易有限公司,吴海英,2.0
泰森华东食品发展有限公司,上海联家超市有限公司宜山店,227.0
上海市荣孙肉制品经营部,上海龙辉餐饮管理有限公司仲盛世界商城店,496.0
上海椰椰食品有限公司,嘉兴永诚（汪永清）,2.0
深圳市瑞隆兴食品贸易有限公司,上海金文食品有限公司,1.0
上海力德尔食品有限公司,政治路,53.0
上海花冠营养乳品有限公司,凉山州越西县孕婴世界,2.0
上海汉康豆类食品有限公司,26.关东青安店,26.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司莘庄乐购店,5.0
上海清美绿色食品有限公司,长江店联华（经销）,32.0
上海兆领糖业商贸有限公司,上海程辉食品有限公司,2.0
上海乐购物流有限公司闵行分公司,上海华灵乐购生活购物有限公司,132.0
怡好（上海）餐饮有限公司,幻品食品（上海）有限公司,198.0
安吉祖名豆制食品有限公司,上海乐购生活购物有限公司菊园分公司,29.0
上海花冠营养乳品有限公司,山东滨州皱平开发区平安贝贝奶粉批发部,4.0
上海泽华食品有限公司,上海市金山区和嘉超市,16.0
上海澳莉嘉食品有限公司宝山分公司,邵万生-洋泾店,166.0
上海双汇大昌有限公司上海分公司,太原市尖草坪区有福食品经销部,1.0
益海嘉里食品营销有限公司,上海必胜客有限公司中原城市广场店,4.0
上海樟鸿贸易有限公司,上海龙辉餐饮管理有限公司七莘路店,6.0
上海乐惠米业有限公司（100228）,上海易买得超市有限公司南桥店,1.0
上海清美绿色食品有限公司,巴林店（华联）,24.0
上海清美绿色食品有限公司,绿地未来城（加盟）预付,15.0
上海苏食肉品销售有限公司,0257鞍山华联专卖店,11.0
上海五丰上食食品有限公司,上海嘉定嘉保集贸市场经营管理有限公司,31.0
安吉祖名豆制食品有限公司,中山公园家乐福,102.0
YSBJ-上海元盛食品有限公司,上海联家超市有限公司古北店,118.0
