source,target
上海岱柏农产品产销专业合作社,上海绿地优鲜超市有限公司宝山大华三路分公司,39.0
上海旭洋绿色食品有限公司,上海西康生鲜市场经营管理有限公司,4.0
上海清美绿色食品有限公司,凉城（联华）,2.0
北京多果国际商贸有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,1.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司香港广场餐厅,2.0
上海清美绿色食品有限公司,上海易买得超市有限公司南桥店,2.0
上海清美绿色食品有限公司,永吉店经销（联华）,2.0
上海澳莉嘉食品有限公司宝山分公司,龙之梦-中山公园店,31.0
上海龙上农副产品批发市场经营管理有限公司,许浦变电站,1.0
上海华晨食品有限公司,上海东航美心食品有限公司,2.0
上海西郊国际农产品交易中心有限公司,上海东康集贸市场经营管理有限公司,4.0
上海龙辉餐饮管理有限公司九六广场店,上海诚味食品有限公司,5.0
上海万有全豆制品有限公司奉贤分公司,家得利番愚店,3.0
东方国际水产中心,上海阳普菜市场经营管理有限公司长岭路分公司,6.0
上海清美绿色食品有限公司,陈龙1店戬浜市场加盟预付,2.0
上海汉康豆类食品有限公司,27(2)03.联华干巷,2.0
生姜大蒜刘,上海翼家菜市场经营管理有限公司,2.0
个体工商户（肉制品）,新长岭大酒店有限公司,2.0
上海艺杏食品有限公司,江佳老街农贸市场（加盟）闫五毛,2.0
上海清美绿色食品有限公司,乾祈店联华加盟（预付）马元,3.0
上海旭洋绿色食品有限公司,华润港汇店,1.0
上海海丰米业有限公司,上海宝山聚丰集贸市场经营管理有限公司,1.0
上海清美绿色食品有限公司,上海嘉定乐购生活购物有限公司,2.0
中粮食品营销有限公司,特易购乐购（中国）投资有限公司嘉善分公司,5.0
上海宝蔬蔬菜配送有限公司,上海欧尚超市有限公司长阳店 ,3.0
上海泽福信用菌种植
专业合作社,上海龙辉餐饮管理有限公司南方商城店,46.0
上海艺杏食品有限公司,常客隆(吴市店),1.0
上海清美绿色食品有限公司,延平（联华）,3.0
上海清美绿色食品有限公司,香花（联华）,6.0
上海龙上农副产品批发市场经营管理有限公司,长宁虹珠菜场,1.0
益海嘉里食品营销有限公司,上海必胜客有限公司淮海中路店,1.0
上海龙辉餐饮管理有限公司九六广场店,舟山骏华水产有限公司,1.0
上海良友海狮油脂实业有限公司,上海华启油脂有限公司,5.0
上海龙辉餐饮管理有限公司九六广场店,上海好客农业科技发展有限公司,73.0
可果美（杭州）食品有限公司,上海日生食品物流有限公司,1.0
北京凯捷国际食品有限公司,上海日生食品物流有限公司,1.0
弘洲食品交易市场,上海翼家菜市场经营管理有限公司,2.0
上海欧源豆类食品有限公司,百安3,5.0
上海大牧汗食品股份有限公司,上海易果电子商务-宝山仓2#,3.0
益海嘉里食品营销有限公司,上海必胜客有限公司常德餐厅,1.0
上海汉康豆类食品有限公司,26.关东青安店,3.0
上海阳洋豆业食品有限公司,打浦路,4.0
上海汉康豆类食品有限公司,15.唐安,3.0
上海泉发食品有限公司,上海航豫餐饮,2.0
上海果品配送有限公司,上海联家超市有限公司万里店,2.0
上海市金山区小陈食品商店,上海中洪大院酒店有限公司,20.0
上海清美绿色食品有限公司,中华新店47(华联),3.0
上海冯达豆类食品有限公司,欧亚玛特购物广场,1.0
上海新景西餐食品有限公司,上海浦东机场华美达大酒店,5.0
三仙食品,上海鹭鹭中环餐饮管理有限公司,52.0
上海汉康豆类食品有限公司,36.世纪联华淞南店,3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司虹凯餐厅,1.0
上海艺杏食品有限公司,上海双峰农贸市场经营管理有限公司,3.0
上海市金文食品有限公司,上海晶采轩餐饮管理有限公司静安分公司,211.0
江苏淮安苏食肉品有限公司,沃尔玛华东百货有限公司上海桃浦分店,3.0
上海清美绿色食品有限公司,康源生鲜加盟,2.0
上海振兴粮行,上海阳普菜市场经营管理有限公司平昌街分公司,1.0
上海清美绿色食品有限公司,夏碧3777(世纪联华),2.0
上海清美绿色食品有限公司,谷全农业重固镇加盟（预付）,4.0
上海艺杏食品有限公司,上海宝山泗塘市场经营管理有限公司,8.0
联华超市股份有限公司（大卖场）,益海嘉里食品营销有限公司,37.0
上海艺杏食品有限公司,乐山菜市场,6.0
