source,target
上海丰美副食品有限公司,上海市浦东新区荡湾小学（食堂）,12.0
雅培贸易（上海）有限公司,上海莲源物流有限公司望园路分公司,33.0
上海万有全豆制品有限公司奉贤分公司,博文,29.0
中盐上海市盐业公司,上海鑫禾餐饮配送有限公司,1.0
上海悦采芳实业有限公司,临沂大为商贸有限公司,36.0
艾狄士食品（上海）有限公司,德扬（上海）餐饮管理浦东分公司,2.0
宁波海曙店,上海新欧尚超市有限公司金都路店,3.0
上海惠寿食品有限公司,苏州欧乐七食品,27.0
泰安市兴盛经贸有限公司,上海莲源物流有限公司望园路分公司,1.0
上海骏丰食品有限公司,大华食品,4.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司淞南餐厅,7.0
上海旭洋绿色食品有限公司,欧尚嘉定2号店177,7.0
多美滋婴幼儿食品有限公司,陕西霍飞贸易有限公司,8.0
湖州震远同食品有限公司,上海豫园旅游商城股份有限公司湖心亭茶楼,7.0
上海天容肉制品集团有限公司,苏州3店欧尚,4.0
内蒙古金海伊利乳业有限责任公司,沃尔玛华东百货有限公司上海桃浦分店,3.0
上海艺杏食品有限公司,常客隆(衡山店),29.0
山东省惠民飞佳食品有限公司,上海鑫禾餐饮配送有限公司,1.0
上海艺杏食品有限公司,常客隆琴湖店,14.0
安吉祖名豆制食品有限公司,南汇欧尚,118.0
上海紫燕食品有限公司,上海紫燕食品有限公司都市路三店,3.0
安徽巴莉甜甜食品有限公司,上海汉康豆类食品有限公司,1.0
上海澳莉嘉食品有限公司宝山分公司,上海第一食品连锁店商店(五角场店),111.0
益海嘉里食品营销有限公司,上海肯德基有限公司金湘餐厅,1.0
益海嘉里食品营销有限公司,上海必胜客有限公司源深餐厅,8.0
上海李泊霖果蔬专业合作社,上海青浦区培英民办小学,19.0
上海景裕食品有限公司,上海锦华酒店管理有限公司,39.0
上海澳莉嘉食品有限公司宝山分公司,环球-专柜,49.0
上海新景西餐食品有限公司,杭州凯悦酒店（杭州华溥）,69.0
上海市宝山区亳州牛羊肉经营部,上海荣创集贸市场管理有限公司,2.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司国权路店,2.0
上海市闵行区佳旗食品经营部,上海晋湘餐饮有限公司,14.0
上海东方国际水产中心（军工路）,上海龙珠集贸市场经营管理有限公司,36.0
上海双汇大昌有限公司上海分公司,泗洪县康之源食品有限公司,1.0
多美滋婴幼儿食品有限公司-奶粉,上海嘉定乐购生活购物有限公司,1.0
上海力德尔食品有限公司,B1-0703田林第三中学 $2102①,1.0
上海清美绿色食品有限公司,龙山菜场,60.0
上海花冠营养乳品有限公司,铜陵世纪贝贝孕婴店,2.0
上海卓磊食品有限公司,上海龙辉餐饮管理有限公司东郊百联店,6.0
甄味（上海）国际贸易有限公司,上海展鲜食品销售有限公司,1.0
上海优壹电子商务有限公司,余姚市阳光贝贝母婴百货超市,2.0
修武县依赛牛肉有限公司,上海兆宏餐饮管理有限公司,6.0
上海展鲜食品销售有限公司,上海文畅食品有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司曹杨餐厅,1.0
浙江金大地农业发展股份有限公司,上海市奉贤区杜胖杂货店,2.0
青浦徐泾胜利粮油综合商店,上海市青浦区韩轩阁饭店,9.0
上海江场农产品批发市场（张）,上海庆安集贸市场经营管理有限公司,2.0
上海力德尔食品有限公司,瑞金营养室,29.0
上海余倩南北干货配送中心,上海嘉定菊胜集贸市场经营管理有限公司,58.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司莘庄乐购店,3.0
上海绿和园艺有限公司,上海必胜客有限公司南京东路餐厅,2.0
上海市宝山区周东阳食品经营部,潇洒园酒家,8.0
广东八记食品有限公司（阿文）,上海龙辉餐饮管理有限公司月星广场店,38.0
上海汉康豆类食品有限公司,10.世纪联华体育场店,25.0
上海永诚食品有限公司,上海添祺贸易有限公司,3.0
上海汉康豆类食品有限公司,35.联华航东,9.0
上海艺杏食品有限公司,交行张江分公司H,16.0
上海市金山区谊捷农副产品商行,上海双汇大昌有限公司上海分公司,21.0
上海松江粮油购销有限公司泖港粮库,松江区小昆山镇旧闻粮油店,7.0
上海双汇大昌有限公司上海分公司,合肥市新站区启东食品经营部,21.0
上海市嘉定区安亭镇雪健杂货店,上海市嘉定区安亭幼儿园,65.0
利泉（厦门）食品有限公司,上海市普陀区诚野农副产品经营部,1.0
上海新景西餐食品有限公司,上海四季酒店,7.0
上海双汇大昌有限公司上海分公司,长春分拨库,4.0
上海都乐食品有限公司,沃尔玛松江店,1.0
Z9AV-湖南湘佳牧业股份有限公司,上海联家超市有限公司新里城店,116.0
上海万有全豆制品有限公司奉贤分公司,梁玲玲(陈春东路120号）,28.0
上海闵行中谊路525号（华友农副产品市场）21号,上海志得餐饮管理有限公司,13.0
上海艺杏食品有限公司,海康市场（曹华）（加盟）,30.0
幼康食品（上海）有限公司,上海市浦东新区小天鹅幼儿园,3.0
宿州市皖神面制品有限公司,上海普圆食品有限公司,2.0
江苏海创农产品开发有限公司,上海肯德基有限公司洛川餐厅,32.0
北京中冷物流股份有限公司,2076沃尔玛华东百货有限公司上海桃浦分店,5.0
上海市闵行区新哥肉制品经营部,欧本咖啡（北京）有限公司,1.0
杭州力源塑业有限公司,上海鑫程食品有限公司,4.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司武宁餐厅,6.0
上海双汇大昌有限公司上海分公司,南长区金棠果食品商行,68.0
上海樟鸿贸易有限公司,上海龙辉餐饮管理有限公司南方商城店,65.0
益海嘉里食品营销有限公司(买断),上海联华超市发展有限公司-加盟店-系统,13.0
上海力德尔食品有限公司,永泰万有全,34.0
上海汉康豆类食品有限公司,金口,5.0
上海增鑫食品销售有限公司（程祖荣）,上海金文食品有限公司,1.0
上海翱杰实业有限公司,上海新欧尚超市有限公司金科路店,2.0
