source,target
临沂六合鲁盛食品有限公司,上海紫燕食品有限公司,1.0
上海忆霖食品有限公司,上海顶发食品有限公司,9.0
上海艺杏食品有限公司,盘古菜市场（王其明）（加盟）,14.0
上海康胜快餐有限公司,上海市虹口区第三中心小学,6.0
上海依涛食品有限公司,上海龙辉餐饮管理有限公司荣乐西路店,6.0
上海华晨食品有限公司,上海佳美食品有限公司,311.0
上海泽福信用菌种植
专业合作社,上海龙辉餐饮管理有限公司南方商城店,61.0
上海旭洋绿色食品有限公司,联华北园专卖,14.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司苗圃餐厅,9.0
上海渔公渔业股份有限公司,上海大昌集贸市场经营管理有限公司,1.0
上海力德尔食品有限公司,生鲜荟,58.0
Z10V-泰森华东食品发展有限公司,上海联家超市有限公司万达店,69.0
益海嘉里食品营销有限公司,上海必胜客有限公司新都会餐厅,3.0
上海普陀区云岭东路601号1003室,上海市闵行区七宝一心酒家,5.0
上海欣晨豆业有限公司,招商市场,24.0
上海珍谷食品有限公司,上海龙辉餐饮管理有限公司七莘路店,11.0
上海阳洋豆业食品有限公司,严家阁菜场32号,30.0
上海汉康豆类食品有限公司,金色晚年（月浦）,6.0
安吉祖名豆制食品有限公司,松江乐购,54.0
ZVKL-中粮食品营销有限公司上海分公司,上海联家超市有限公司七宝店,2.0
山东荣华食品集团有限公司,上海双汇大昌有限公司上海分公司,3.0
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司共江店,1.0
上海经泰油脂有限公司,金发粮油,3.0
上海清净园食品有限公司,上海七宝商城综合市场经营管理有限公司,7.0
上海欧源豆类食品有限公司,农贸市场,24.0
上海汉康豆类食品有限公司,04.上海松江港茸农副产品基地厂,18.0
上海骏果有限公司,上海欧尚超市有限公司闵行店,3.0
上海市闵行区新哥肉制品经营部,仪电溯源科技,1.0
上海长生食品有限公司,大润发松江店,6.0
上海力德尔食品有限公司,迎园中学（东）学生,5.0
上海万有全豆制品有限公司奉贤分公司,亚东石化厂,5.0
上海迪亚零售有限公司,156号店,27.0
上海山林食品有限公司,山林食品各门店,700.0
上海龙辉餐饮管理有限公司九六广场店,上海市食品进出口有限公司,4.0
雅培贸易（上海）有限公司,上海莲源物流有限公司望园路分公司,6.0
上海清美绿色食品有限公司,上海联家超市有限公司联洋店,48.0
上海适达餐饮管理有限公司冰淇淋加工厂,金山蓝色海岸,13.0
上海万有全豆制品有限公司奉贤分公司,博文,27.0
上海万有全豆制品有限公司奉贤分公司,邵厂幼儿园（绿引）,11.0
上海展富食品有限公司,（杭大店）尚乐（杭州）餐饮管理有限公司杭州大厦店,15.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司西藏中路餐厅,4.0
上海日野食用农产品销售有限公司,上海龙辉餐饮管理有限公司淀山湖大道店,1.0
上海浦之灵食品有限公司,上海家得利超市有限公司安亭店,4.0
合肥华牛商贸有限公司,上海外高桥进口商品直销中心有限公司,5.0
佳农食品上海有限公司,宁波欧尚超市有限公司上海嘉定澄浏店,40.0
上海味好美食品有限公司,上海鑫禾餐饮配送有限公司,1.0
东台市祥和肉制品厂,上海浦众农贸市场经营管理有限公司,2.0
宁波海曙店,上海新欧尚超市有限公司金都路店,1.0
泰安市兴盛经贸有限公司,上海莲源物流有限公司望园路分公司,1.0
上海艺杏食品有限公司,艺杏实业（永上客-百脑汇店）,23.0
ZPV0-益海嘉里食品营销有限公司,上海联家超市有限公司七宝店,17.0
上海汉康豆类食品有限公司,16.联华赵屯店,3.0
多美滋婴幼儿食品有限公司,陕西霍飞贸易有限公司,11.0
上海亚太国际蔬菜有限公司,上海加发餐饮管理有限公司曲阳路店,4.0
上海东区老大房食品有限公司,联华羽山,13.0
益海嘉里食品营销有限公司,上海又豪餐饮管理有限公司江桥万达广场店,1.0
湖州震远同食品有限公司,上海豫园旅游商城股份有限公司湖心亭茶楼,5.0
泰森华东食品发展有限公司,上海新欧尚超市有限公司蒙山北路店,145.0
上海花冠营养乳品有限公司,襄阳老河口市宝贝之家,3.0
上海圆麦食品有限公司,上海力宁食品有限公司,4.0
三角地菜场,上海浦众农贸市场经营管理有限公司,1.0
上海艺杏食品有限公司,常客隆(衡山店),30.0
上海迪亚零售有限公司,251号店,3.0
上海艺杏食品有限公司,常客隆琴湖店,9.0
 上海宜春食品有限公司,上海华晨食品有限公司,1.0
上海汉康豆类食品有限公司,37.联华捷茂店,26.0
上海艺杏食品有限公司,南石农贸市场63号(刘向东)（加盟）,19.0
四川省资阳市环宇实业有限公司,上海绿捷实业发展有限公司,1.0
上海春泰粮油工贸有限公司松江第一分公司,巧够--西渡店,4.0
上海万有全豆制品有限公司奉贤分公司,上海市闵行浦航第二中学b2-1604,1.0
益海嘉里食品营销有限公司,上海肯德基有限公司金湘餐厅,1.0
益海嘉里食品营销有限公司,上海必胜客有限公司源深餐厅,2.0
上海李泊霖果蔬专业合作社,上海青浦区培英民办小学,29.0
上海长生食品有限公司,大润发广陵店,2.0
上海新景西餐食品有限公司,杭州凯悦酒店（杭州华溥）,81.0
上海市普陀区绍勇冷冻食品,上海宝山鱼塘市场经营管理有限公司,7.0
上海市宝山区亳州牛羊肉经营部,上海荣创集贸市场管理有限公司,1.0
上海卓典食品香料有限公司,上海萨莉亚餐饮有限公司大渡河路店,9.0
上海杰因斯国际贸易有限公司,上海同顺食品科技发展股份有限公司,1.0
领先食品（上海）发展有限公司,味之鲜-浙江特特,1.0
陕西美臣贸易有限公司,上海莲源物流有限公司望园路分公司,2.0
上海绿和园艺有限公司,上海必胜客有限公司南翔真南路店,54.0
上海阳洋豆业食品有限公司,上海沪翠餐饮有限公司,2.0
上海金文食品有限公司,上海龙辉餐饮管理有限公司仲盛世界商城店,137.0
上海汉康豆类食品有限公司,14.联华景联店,15.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司牡丹江路店,1.0
上海家得利超市有限公司,35淞南店,2.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司曹杨餐厅,2.0
上海力德尔食品有限公司,水城137,58.0
浙江贝因美科工贸股份有限公司,上海莲源物流有限公司望园路分公司,13.0
上海万有全豆制品有限公司奉贤分公司,上海市工商外国语学校B2-1206,1.0
上海余倩南北干货配送中心,上海嘉定菊胜集贸市场经营管理有限公司,57.0
上海市嘉定区南翔镇双卜蔬菜经营部,上海街坊土菜馆,49.0
元朝食品销售（上海）有限公司,上海农产品中心批发市场经营管理有限公司,1.0
多美滋婴幼儿食品有限公司,沃尔玛高行店,4.0
上海优壹电子商务有限公司,奉贤区钱桥妈咪宝贝母婴店,4.0
上海捞派餐饮管理有限公司逸仙路分公司,上海捞派餐饮管理有限公司逸仙路分公司,945.0
上海花冠营养乳品有限公司,马鞍山市束婷婷,5.0
广东八记食品有限公司（阿文）,上海龙辉餐饮管理有限公司月星广场店,40.0
上海锦翰国际贸易有限公司,上海外高桥进口商品直销中心有限公司,7.0
甄味（上海）国际贸易有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,54.0
上海市静安区建安食品店,上海市泰康食品有限公司真老大房食品分公司,1.0
上海好客农业科技发展有限公司,上海龙辉餐饮管理有限公司百联又一城店,913.0
上海信味实业有限公司,上海华晨食品有限公司,2.0
上海优壹电子商务有限公司,上虞婴知岛,3.0
上海花冠营养乳品有限公司,四川省江油市贝鑫孕婴用品经营部,14.0
上海泽福食用菌种植专业合作社,上海龙辉餐饮管理有限公司五角场店,84.0
YZ9H-贝因美（上海）现代商超营销有限公司,上海联家超市有限公司真北店,1.0
上海闵行中谊路525号（华友农副产品市场）21号,上海志得餐饮管理有限公司,3.0
上海苏食肉品销售有限公司,0041闸北大润发专柜   ,5.0
0289佳格投资(中国)有限公司,上海家得利超市有限公司,1.0
上海圣纳茜斯食品有限公司,上海萨莉亚餐饮有限公司大渡河路店,3.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司罗秀餐厅,26.0
上海樟鸿贸易有限公司,上海龙辉餐饮管理有限公司南方商城店,565.0
上海优壹电子商务有限公司,南京爱婴岛儿童百货有限公司,1.0
上海长生食品有限公司,大润发港澳店,2.0
三得利啤酒（上海）有限公司,上海蓝田食品有限公司,1.0
（个体工商户）高守明,上海古意餐饮管理有限公司静安分公司,60.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司钦州餐厅,16.0
上海意华食品有限公司,欧尚超市有限公司(闵行1店),1.0
